,word,stem,NUM[AGGREG],NUM[MULTIPL],NUM[ORD-ITER-ACCOMPL]
0,ahányan,ahány,1,0,0
1,ahányszorta,ahány,0,1,0
2,akárhanyan,akárhány,1,0,0
3,akárhányadszorra,akárhány,0,0,1
4,akárhányan,akárhány,1,0,0
5,annyian,annyi,1,0,0
6,annyiszorta,annyi,0,1,0
7,bárhányan,bárhány,1,0,0
8,csomóan,csomó,1,0,0
9,egyen,egy,1,0,0
10,egynéhányan,egynéhány,1,0,0
11,egypáran,egypár,1,0,0
12,egyszerte,egy,0,1,0
13,ennyien,ennyi,1,0,0
14,ezren,ezer,1,0,0
15,feleannyian,feleannyi,1,0,0
16,feleennyien,feleennyi,1,0,0
17,félannyian,félannyi,1,0,0
18,hanyadszorra,hány,0,0,1
19,hanyan,hány,1,0,0
20,harmadszorra,három,0,0,1
21,harmincadszorra,harminc,0,0,1
22,harmincan,harminc,1,0,0
23,hatan,hat,1,0,0
24,hatodszorra,hat,0,0,1
25,hatszorta,hat,0,1,0
26,hatvanadszorra,hatvan,0,0,1
27,hatvanan,hatvan,1,0,0
28,heten,hét,1,0,0
29,hetvenen,hetven,1,0,0
30,huszadszorra,húsz,0,0,1
31,hányadszorra,hány,0,0,1
32,hányan,hány,1,0,0
33,hányszorta,hány,0,1,0
34,háromszorta,három,0,1,0
35,hétszerte,hét,0,1,0
36,hússzorta,húsz,0,1,0
37,húszan,húsz,1,0,0
38,jónéhányan,jónéhány,1,0,0
39,kevesen,kevés,1,0,0
40,kilencen,kilenc,1,0,0
41,kismillióan,kismillió,1,0,0
42,kétannyian,kétannyi,1,0,0
43,kétszerte,kettő,0,1,0
44,megannyian,megannyi,1,0,0
45,milliomodszorra,millió,0,0,1
46,milliárdan,milliárd,1,0,0
47,milliárdszorta,milliárd,0,1,0
48,millióan,millió,1,0,0
49,mindahányan,mindahány,1,0,0
50,másfelen,másfél,1,0,0
51,másfélszerte,másfél,0,1,0
52,másodszorra,kettő,0,0,1
53,negyvenen,negyven,1,0,0
54,nyolcadszorra,nyolc,0,0,1
55,nyolcan,nyolc,1,0,0
56,nyolcszorta,nyolc,0,1,0
57,nyolcvanan,nyolcvan,1,0,0
58,négyen,négy,1,0,0
59,négyszerte,négy,0,1,0
60,néhányan,néhány,1,0,0
61,rengetegen,rengeteg,1,0,0
62,sehányan,sehány,1,0,0
63,sokadszorra,sok,0,0,1
64,sokan,sok,1,0,0
65,számosan,számos,1,0,0
66,századszorra,száz,0,0,1
67,százan,száz,1,0,0
68,tengernyien,tengernyi,1,0,0
69,tízen,tíz,1,0,0
70,tízszerte,tíz,0,1,0
71,ugyanannyian,ugyanannyi,1,0,0
72,ugyanennyien,ugyanennyi,1,0,0
73,valahányan,valahány,1,0,0
74,öten,öt,1,0,0
75,öten,öt,1,0,0
76,öten,öt,1,0,0
77,édeskevesen,édeskevés,1,0,0
78,öten,öt,1,0,0
79,ötszörte,öt,0,1,0
80,ötvenen,ötven,1,0,0
